t_s,commanded_tire_friction,schedule
31.733,1.000000,constant
31.766,1.000000,constant
31.800,1.000000,constant
31.833,1.000000,constant
31.866,1.000000,constant
31.900,1.000000,constant
31.933,1.000000,constant
31.966,1.000000,constant
32.000,1.000000,constant
32.033,1.000000,constant
32.066,1.000000,constant
32.100,1.000000,constant
32.134,1.000000,constant
32.166,1.000000,constant
32.200,1.000000,constant
32.233,1.000000,constant
32.266,1.000000,constant
32.300,1.000000,constant
32.333,1.000000,constant
32.366,1.000000,constant
32.400,1.000000,constant
32.433,1.000000,constant
32.466,1.000000,constant
32.500,1.000000,constant
32.533,1.000000,constant
32.566,1.000000,constant
32.599,1.000000,constant
32.633,1.000000,constant
32.666,1.000000,constant
32.699,1.000000,constant
32.733,1.000000,constant
32.766,1.000000,constant
32.799,1.000000,constant
32.833,1.000000,constant
32.866,1.000000,constant
32.899,1.000000,constant
32.933,1.000000,constant
32.966,1.000000,constant
33.000,1.000000,constant
33.033,1.000000,constant
33.067,1.000000,constant
33.100,1.000000,constant
33.133,1.000000,constant
33.166,1.000000,constant
33.200,1.000000,constant
33.233,1.000000,constant
33.266,1.000000,constant
33.300,1.000000,constant
33.333,1.000000,constant
33.366,1.000000,constant
33.400,1.000000,constant
33.433,1.000000,constant
33.466,1.000000,constant
33.500,1.000000,constant
33.533,1.000000,constant
33.566,1.000000,constant
33.599,1.000000,constant
33.633,1.000000,constant
33.667,1.000000,constant
33.700,1.000000,constant
33.733,1.000000,constant
33.766,1.000000,constant
33.800,1.000000,constant
33.833,1.000000,constant
33.866,1.000000,constant
33.900,1.000000,constant
33.933,1.000000,constant
33.966,1.000000,constant
34.000,1.000000,constant
34.033,1.000000,constant
34.066,1.000000,constant
34.100,1.000000,constant
34.133,1.000000,constant
34.167,1.000000,constant
34.199,1.000000,constant
34.233,1.000000,constant
34.266,1.000000,constant
34.299,1.000000,constant
34.333,1.000000,constant
34.366,1.000000,constant
34.400,1.000000,constant
34.433,1.000000,constant
34.467,1.000000,constant
34.499,1.000000,constant
34.533,1.000000,constant
34.566,1.000000,constant
34.599,1.000000,constant
34.633,1.000000,constant
34.666,1.000000,constant
34.699,1.000000,constant
34.733,1.000000,constant
34.766,1.000000,constant
34.800,1.000000,constant
34.833,1.000000,constant
34.866,1.000000,constant
34.900,1.000000,constant
34.933,1.000000,constant
34.966,1.000000,constant
35.000,1.000000,constant
35.033,1.000000,constant
35.066,1.000000,constant
35.099,1.000000,constant
35.133,1.000000,constant
35.166,1.000000,constant
35.199,1.000000,constant
35.233,1.000000,constant
35.266,1.000000,constant
35.300,1.000000,constant
35.333,1.000000,constant
35.366,1.000000,constant
35.400,1.000000,constant
35.433,1.000000,constant
35.466,1.000000,constant
35.500,1.000000,constant
35.533,1.000000,constant
35.566,1.000000,constant
35.599,1.000000,constant
35.633,1.000000,constant
35.666,1.000000,constant
35.700,1.000000,constant
35.733,1.000000,constant
35.766,1.000000,constant
35.800,1.000000,constant
35.833,1.000000,constant
35.866,1.000000,constant
35.900,1.000000,constant
35.933,1.000000,constant
35.966,1.000000,constant
36.000,1.000000,constant
36.033,1.000000,constant
36.067,1.000000,constant
36.100,1.000000,constant
36.133,1.000000,constant
36.166,1.000000,constant
36.200,1.000000,constant
36.233,1.000000,constant
36.267,1.000000,constant
36.300,1.000000,constant
36.333,1.000000,constant
36.366,1.000000,constant
36.399,1.000000,constant
36.433,1.000000,constant
36.466,1.000000,constant
36.500,1.000000,constant
36.533,1.000000,constant
36.566,1.000000,constant
36.600,1.000000,constant
36.633,1.000000,constant
36.666,1.000000,constant
36.700,1.000000,constant
36.733,1.000000,constant
36.766,1.000000,constant
36.800,1.000000,constant
36.833,1.000000,constant
36.866,1.000000,constant
36.899,1.000000,constant
36.934,1.000000,constant
36.966,1.000000,constant
37.000,1.000000,constant
37.033,1.000000,constant
37.066,1.000000,constant
37.100,1.000000,constant
37.133,1.000000,constant
37.166,1.000000,constant
37.200,1.000000,constant
37.233,1.000000,constant
37.266,1.000000,constant
37.300,1.000000,constant
37.333,1.000000,constant
37.366,1.000000,constant
37.400,1.000000,constant
37.433,1.000000,constant
37.466,1.000000,constant
37.500,1.000000,constant
37.533,1.000000,constant
37.566,1.000000,constant
37.599,1.000000,constant
37.633,1.000000,constant
37.666,1.000000,constant
37.699,1.000000,constant
37.733,1.000000,constant
37.766,1.000000,constant
37.800,1.000000,constant
37.833,1.000000,constant
37.866,1.000000,constant
37.900,1.000000,constant
37.933,1.000000,constant
37.967,1.000000,constant
38.000,1.000000,constant
38.033,1.000000,constant
38.066,1.000000,constant
38.100,1.000000,constant
38.133,1.000000,constant
38.166,1.000000,constant
38.200,1.000000,constant
38.234,1.000000,constant
38.266,1.000000,constant
38.300,1.000000,constant
38.333,1.000000,constant
38.366,1.000000,constant
38.400,1.000000,constant
38.433,1.000000,constant
38.466,1.000000,constant
38.500,1.000000,constant
38.533,1.000000,constant
