scenario,e_y_m
ours,0.004996617793893987
ours,0.00492563450346728
ours,0.004764287320688815
ours,0.004753818216606618
ours,0.004650592844270773
ours,0.004569932196412996
ours,0.0045956421953436966
ours,0.004551110505473632
ours,0.0044531686946896465
ours,0.004217950861237274
ours,0.003998547454108686
ours,0.003740354602394899
ours,0.0031378811506820627
ours,0.002668244953468152
ours,0.002400834387450701
ours,0.0022144082659470987
ours,0.0019202787964313073
ours,0.0016614987850948615
ours,0.0016309309094577062
ours,0.001464444621454064
ours,0.0016944983644558709
ours,0.0017850975119210188
ours,0.0018768316539539698
ours,0.0022703587938264214
ours,0.0026804727517655835
ours,0.003020058976449136
ours,0.0037302271195201187
ours,0.004152178749944724
ours,0.0041243901651346615
ours,0.004160678742293256
ours,0.004125720561389101
ours,0.004457637928373781
ours,0.004593970223143784
ours,0.0045849014990048675
ours,0.003854361967688291
ours,0.003315046604402544
ours,0.00167022411681933
ours,-1.1714859575101544e-05
ours,-0.001902425771323435
ours,-0.003978625325694485
ours,-0.005386059477566041
ours,-0.007852425418349018
ours,-0.010070097489621843
ours,-0.011039212897732298
ours,-0.011123949472843708
ours,-0.011416619865532995
ours,-0.011744209366851055
ours,-0.01267301181407475
ours,-0.013632416272975373
ours,-0.015497233636951357
ours,-0.017784459662986973
ours,-0.019456219206343134
ours,-0.022842931962230417
ours,-0.024025479567824193
ours,-0.029625156275037756
ours,-0.03219031136047229
ours,-0.03439833509440311
ours,-0.03587897490177966
ours,-0.03641624229335
ours,-0.03896784753254856
ours,-0.0398303576919985
ours,-0.0413909156041633
ours,-0.04227454747571925
ours,-0.04344550931733193
ours,-0.0454761219237475
ours,-0.046450756257438414
ours,-0.05089260019881085
ours,-0.05282280429087164
ours,-0.055116408967236546
ours,-0.05602229409436392
ours,-0.055951956634894884
ours,-0.055300990422396945
ours,-0.05509694562703257
ours,-0.05499109730781207
ours,-0.05731840365672641
ours,-0.05818524267472375
ours,-0.058328056677438955
ours,-0.05757255706756817
ours,-0.05194264673168114
ours,-0.04171464702941727
ours,-0.028895486850816776
ours,-0.02136655416121616
ours,-0.01520830332622597
ours,-0.013208974117624783
ours,-0.013454172821083132
ours,-0.017173084277880127
ours,-0.020954661656550633
ours,-0.016249482266107944
ours,-0.006516501621573079
ours,0.010714793501260422
ours,0.029523777899722492
ours,0.043337661060382116
ours,0.05868624316981269
ours,0.062007753346448036
ours,0.06656564756464703
ours,0.06492376566593103
ours,0.062230485328342855
ours,0.05740348657311076
ours,0.05316063122808262
ours,0.04459288650778814
ours,0.040888704914654295
ours,0.03581870378192971
ours,0.03343558125043386
ours,0.03130685999541565
ours,0.0256446962116183
ours,0.01866287310867832
ours,0.009205716455116197
ours,-0.006828856749946766
ours,-0.016474144799974666
ours,-0.037737900426861815
ours,-0.05909605801873455
ours,-0.07477473070991153
ours,-0.10009636565542136
ours,-0.11247785550869899
ours,-0.12901000648330513
ours,-0.1485921728079096
ours,-0.1619496619399694
ours,-0.17127727240545565
ours,-0.1769769244097245
ours,-0.17260631095904966
ours,-0.16909378689656834
ours,-0.15301910707136962
ours,-0.13452819158145857
ours,-0.12962987553648092
ours,-0.12744081093679377
ours,-0.1310160590699863
ours,-0.1358729025259853
ours,-0.12627768525667057
ours,-0.10396379838875111
ours,-0.07404273317945423
ours,-0.04112186746669595
ours,-0.03111248172094517
ours,-0.03383332106929956
ours,-0.04398647745078468
ours,-0.05560748010387895
ours,-0.06279802464684833
ours,-0.06519594258931607
ours,-0.06629218780770779
ours,-0.07016908982271908
ours,-0.06992245020341994
ours,-0.07349403352910114
ours,-0.08296527908687618
ours,-0.10005083627396141
ours,-0.11897248553549171
ours,-0.1489645634883997
ours,-0.17304248242942827
ours,-0.20353520730704422
ours,-0.2276450564974868
ours,-0.24967527165347464
ours,-0.2816041175787302
ours,-0.3077270787333572
ours,-0.3379060803360481
ours,-0.369716137840719
ours,-0.4135778372287427
ours,-0.42897869692826285
