scenario,signal,t_s,error_est_minus_gt
ours,front_sum_fy,47.19,12.239491613189927
ours,front_sum_fy,47.256,13.04219246680077
ours,front_sum_fy,47.289,13.249246090100115
ours,front_sum_fy,47.322,13.35374492165306
ours,front_sum_fy,47.388,14.494507740044341
ours,front_sum_fy,47.454,14.717663922406189
ours,front_sum_fy,47.487,14.7516089367993
ours,front_sum_fy,47.52,14.908396594065323
ours,front_sum_fy,47.586,15.280239593119376
ours,front_sum_fy,47.652,15.088061343382364
ours,front_sum_fy,47.685,15.192405201530107
ours,front_sum_fy,47.718,15.267537871858451
ours,front_sum_fy,47.784,15.274851877645375
ours,front_sum_fy,47.85,15.584994972225303
ours,front_sum_fy,47.916,15.323220755639483
ours,front_sum_fy,47.982,15.325032907508273
ours,front_sum_fy,48.048,15.347122576068855
ours,front_sum_fy,48.114,15.196276292510873
ours,front_sum_fy,48.18,15.444946618973276
ours,front_sum_fy,48.246,16.30884531298355
ours,front_sum_fy,48.312,16.32352170600501
ours,front_sum_fy,48.378,16.054023201149164
ours,front_sum_fy,48.411,16.21915389222653
ours,front_sum_fy,48.444,16.844033693126192
ours,front_sum_fy,48.51,17.012651817752868
ours,front_sum_fy,48.576,17.212624462757603
ours,front_sum_fy,48.609,17.69409834274218
ours,front_sum_fy,48.642,17.584898989036517
ours,front_sum_fy,48.708,17.43228702950401
ours,front_sum_fy,48.774,17.269801683851895
ours,front_sum_fy,48.807,17.088924503652294
ours,front_sum_fy,48.84,16.572751592417347
